Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
Pikachu;15;1920, 1080;6;4;420.0;2100.0;1260.0;1260.0;287.3319;818.80975;241.0;824.0;46.62171669744796;1004290469;-1.01374903075491E14;20.0
Pikachu;15;1920, 1080;4;2;1260.0;1260.0;2100.0;420.0;287.3319;818.80975;241.0;824.0;46.62171669744796;1004290469;-1.01374903075491E14;16.0
Pikachu;15;1920, 1080;2;1;2100.0;420.0;1260.0;420.0;287.3319;818.80975;241.0;824.0;46.62171669744796;1004290469;-1.01374903075491E14;21.0
Pikachu;15;1920, 1080;1;0;1260.0;420.0;420.0;420.0;287.3319;818.80975;241.0;824.0;46.62171669744796;1004290469;-1.01374903075491E14;25.0
