Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
deletethis;11;1920, 1080;2;1;2100.0;420.0;1260.0;420.0;247.65692;1036.8564;271.0;1073.0;43.026222987779576;515950312;-9.601456476524E13;13.0
deletethis;11;1920, 1080;1;0;1260.0;420.0;420.0;420.0;247.65692;1036.8564;271.0;1073.0;43.026222987779576;515950312;-9.601456476524E13;15.0
deletethis;11;1920, 1080;0;3;420.0;420.0;420.0;1260.0;247.65692;1036.8564;271.0;1073.0;43.026222987779576;515950312;-9.601456476524E13;17.0
