Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
icsd13008;8;1920, 1080;8;7;2100.0;2100.0;1260.0;2100.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;19.0
icsd13008;8;1920, 1080;7;6;1260.0;2100.0;420.0;2100.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;19.0
icsd13008;8;1920, 1080;6;3;420.0;2100.0;420.0;1260.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;18.0
icsd13008;8;1920, 1080;3;4;420.0;1260.0;1260.0;1260.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;18.0
icsd13008;8;1920, 1080;4;1;1260.0;1260.0;1260.0;420.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;19.0
icsd13008;8;1920, 1080;1;0;1260.0;420.0;420.0;420.0;318.9;781.0;267.0;793.0;53.26921593617758;1984875625;-9.0039020250889E13;19.0
