Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
icsd16067;22;1920, 1080;6;4;420.0;2100.0;1260.0;1260.0;605.377;760.0;546.0;769.0;60.055223008289595;1167287448;-2.08907535866046E14;12.0
icsd16067;22;1920, 1080;4;2;1260.0;1260.0;2100.0;420.0;605.377;760.0;546.0;769.0;60.055223008289595;1167287448;-2.08907535866046E14;13.0
icsd16067;22;1920, 1080;2;1;2100.0;420.0;1260.0;420.0;605.377;760.0;546.0;769.0;60.055223008289595;1167287448;-2.08907535866046E14;7.0
