Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
Anna;24;1920, 1080;6;3;420.0;2100.0;420.0;1260.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;20.0
Anna;24;1920, 1080;3;0;420.0;1260.0;420.0;420.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;23.0
Anna;24;1920, 1080;0;4;420.0;420.0;1260.0;1260.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;24.0
Anna;24;1920, 1080;4;2;1260.0;1260.0;2100.0;420.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;24.0
Anna;24;1920, 1080;2;5;2100.0;420.0;2100.0;1260.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;23.0
Anna;24;1920, 1080;5;8;2100.0;1260.0;2100.0;2100.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;22.0
Anna;24;1920, 1080;8;1;2100.0;2100.0;1260.0;420.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;23.0
Anna;24;1920, 1080;1;7;1260.0;420.0;1260.0;2100.0;548.77985;1314.7891;553.0;1357.0;42.421373655235335;2036208124;-3.78831382476867E14;24.0
