Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
icsd15088;11;1920, 1080;6;3;420.0;2100.0;420.0;1260.0;599.0;1300.1754;599.0;1353.8989;53.7235107421875;1005662083;-1.98569994377402E14;10.0
icsd15088;11;1920, 1080;3;4;420.0;1260.0;1260.0;1260.0;599.0;1300.1754;599.0;1353.8989;53.7235107421875;1005662083;-1.98569994377402E14;19.0
icsd15088;11;1920, 1080;4;7;1260.0;1260.0;1260.0;2100.0;599.0;1300.1754;599.0;1353.8989;53.7235107421875;1005662083;-1.98569994377402E14;17.0
