number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;96882196622242;612.4009;1053.0;1.0
2;96882196622242;604.24274;1053.0;1.0
2;96882196622242;567.1708;1062.9146;1.0
2;96882196622242;565.0783;1064.9218;1.0
2;96882196622242;564.0;1067.0;1.0
2;96882196622242;907.0;791.0;1.0
2;96882196622242;907.0;791.0;1.0
2;96882196622242;907.0;791.0;1.0
2;96882196622242;905.1633;791.91833;1.0
2;96882196622242;901.2414;794.7586;1.0
5;96882346980836;895.2891;801.6145;1.0
5;96882346980836;886.47723;818.0455;1.0
5;96882346980836;873.57153;846.5711;1.0
5;96882346980836;861.59576;874.60986;1.0
5;96882346980836;850.4989;901.7029;1.0
5;96882346980836;843.3069;924.8749;1.0
5;96882346980836;837.30206;946.89246;1.0
5;96882346980836;831.3098;971.65735;1.0
5;96882346980836;826.21643;996.7014;1.0
8;96882613369013;822.2286;1019.74286;1.0
8;96882613369013;818.33105;1042.0135;1.0
8;96882613369013;814.228;1068.518;1.0
8;96882613369013;812.1134;1094.5259;1.0
8;96882613369013;811.0;1120.4645;1.0
8;96882613369013;811.0;1141.8002;1.0
8;96882613369013;810.0;1160.9203;1.0
8;96882613369013;810.0;1180.8245;1.0
8;96882613369013;810.0;1198.0328;1.0
8;96882613369013;810.0;1211.2363;1.0
8;96882613369013;810.0;1223.1855;1.0
8;96882613369013;810.0;1235.4841;1.0
8;96882613369013;810.0;1246.5497;1.0
8;96882613369013;810.0;1257.5573;1.0
8;96882613369013;810.0;1265.6434;1.0
8;96882613369013;810.0;1272.7181;1.0
7;96883178643960;810.0;1278.6726;1.0
7;96883178643960;810.0;1283.8337;1.0
7;96883178643960;810.0;1287.8123;1.0
7;96883178643960;810.0;1291.8239;1.0
7;96883178643960;809.0;1295.8306;1.0
7;96883178643960;808.0;1297.9183;1.0
7;96883178643960;807.0853;1299.9147;1.0
7;96883178643960;806.07825;1303.8435;1.0
7;96883178643960;805.0;1306.8192;1.0
7;96883178643960;804.0;1310.8281;1.0
7;96883178643960;802.1382;1314.7236;1.0
7;96883178643960;800.09686;1317.8063;1.0
7;96883178643960;799.08624;1319.9137;1.0
7;96883178643960;798.0;1321.9172;1.0
7;96883178643960;797.0;1324.922;1.0
7;96883178643960;796.08203;1327.918;1.0
7;96883178643960;796.0;1329.9154;1.0
7;96883178643960;795.0;1331.9193;1.0
7;96883178643960;795.0;1333.9269;1.0
7;96883178643960;794.0;1335.9197;1.0
7;96883178643960;792.5;1336.0;1.0
7;96883178643960;791.0752;1336.0;1.0
7;96883178643960;789.0738;1336.0;1.0
7;96883178643960;787.07465;1336.0;1.0
7;96883178643960;785.0791;1337.0;1.0
7;96883178643960;781.1587;1338.9207;1.0
7;96883178643960;774.29;1340.9275;1.0
7;96883178643960;763.4664;1343.9222;1.0
7;96883178643960;746.73627;1347.8528;1.0
7;96883178643960;723.02997;1350.9208;1.0
7;96883178643960;695.11426;1352.0;1.0
7;96883178643960;666.1276;1352.0;1.0
7;96883178643960;638.36273;1352.0;1.0
7;96883178643960;609.35803;1352.0;1.0
6;96883444069377;579.1903;1352.0;1.0
6;96883444069377;549.1369;1352.9242;1.0
6;96883444069377;518.3336;1353.0;1.0
6;96883444069377;490.04114;1353.0;1.0
6;96883444069377;465.02155;1352.0851;1.0
