number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;376612474402557;550.7032;1365.5339;1.0
0;376612474402557;502.634;1373.5211;1.0
0;376612474402557;437.17624;1389.6079;1.0
0;376612474402557;405.50812;1403.6951;1.0
0;376612474402557;401.0;1402.0;1.0
0;376612474402557;401.0;1402.0;1.0
0;376612474402557;293.0;782.0;1.0
5;376615407930681;293.0;782.0;1.0
5;376615407930681;293.0;782.0;1.0
5;376615407930681;291.1029;782.0;1.0
5;376615407930681;289.5;782.0;1.0
5;376615407930681;290.0;783.88586;1.0
5;376615407930681;290.0;784.9549;1.0
5;376615407930681;290.0;785.8996;1.0
5;376615407930681;290.0;786.5;1.0
5;376615407930681;290.0;787.0;1.0
5;376615407930681;290.0;787.0;1.0
5;376615407930681;290.0;788.0;1.0
5;376615407930681;290.0;788.9505;1.0
5;376615407930681;290.0;789.4993;1.0
5;376615407930681;290.0;790.0;1.0
5;376615407930681;289.0;790.0;1.0
5;376615407930681;289.0;790.0;1.0
5;376615407930681;289.0;791.0;1.0
5;376615407930681;289.0;792.0;1.0
5;376615407930681;289.0;793.0;1.0
5;376615407930681;289.0;794.0;1.0
5;376615407930681;287.56805;794.0;1.0
5;376615407930681;286.07922;794.0;1.0
5;376615407930681;284.06046;794.0;1.0
5;376615407930681;282.04785;795.95215;1.0
5;376615407930681;280.05878;797.9412;1.0
5;376615407930681;280.0;799.9361;1.0
5;376615407930681;280.0;803.81366;1.0
5;376615407930681;281.8963;809.6889;1.0
5;376615407930681;286.70975;820.4195;1.0
5;376615407930681;294.8068;834.69086;1.0
5;376615407930681;304.58264;849.4157;1.0
5;376615407930681;315.64822;862.5779;1.0
5;376615407930681;327.74866;874.74866;1.0
5;376615407930681;339.64188;886.64185;1.0
5;376615407930681;351.57498;898.575;1.0
5;376615407930681;363.00595;909.0059;1.0
5;376615407930681;374.85486;919.0457;1.0
5;376615407930681;385.38086;927.5047;1.0
5;376615407930681;395.49078;934.69446;1.0
5;376615407930681;404.61987;940.7149;1.0
5;376615407930681;413.59384;945.79694;1.0
5;376615407930681;423.44205;949.7768;1.0
5;376615407930681;432.366;953.7464;1.0
5;376615407930681;442.47314;957.78925;1.0
5;376615407930681;451.23508;961.69403;1.0
5;376615407930681;459.2657;965.6328;1.0
5;376615407930681;466.43314;967.81104;1.0
5;376615407930681;472.5581;968.0;1.0
5;376615407930681;477.73682;968.0;1.0
5;376615407930681;482.6389;968.0;1.0
5;376615407930681;486.7603;968.0;1.0
5;376615407930681;490.78693;967.1065;1.0
5;376615407930681;495.7753;966.0;1.0
5;376615407930681;499.76147;964.11926;1.0
5;376615407930681;503.76584;963.0;1.0
5;376615407930681;507.73245;962.0;1.0
5;376615407930681;511.63593;961.0;1.0
5;376615407930681;514.90393;960.0;1.0
5;376615407930681;516.8943;959.0;1.0
5;376615407930681;518.87415;958.12585;1.0
5;376615407930681;520.8954;957.1046;1.0
5;376615407930681;522.8966;956.1034;1.0
5;376615407930681;524.89246;956.0;1.0
5;376615407930681;526.8237;955.0;1.0
5;376615407930681;527.91504;955.0;1.0
5;376615407930681;529.8329;955.0;1.0
5;376615407930681;531.87695;955.0;1.0
5;376615407930681;533.9176;954.0824;1.0
5;376615407930681;536.82983;954.0;1.0
5;376615407930681;541.73755;953.08746;1.0
5;376615407930681;547.70654;952.0;1.0
5;376615407930681;554.6705;950.0824;1.0
5;376615407930681;562.67993;948.08;1.0
5;376615407930681;569.32837;946.1679;1.0
5;376615407930681;576.3086;944.17285;1.0
5;376615407930681;582.6102;942.12994;1.0
5;376615407930681;588.7232;940.0923;1.0
5;376615407930681;593.82306;938.08844;1.0
5;376615407930681;597.80475;937.0;1.0
5;376615407930681;601.81305;936.0935;1.0
5;376615407930681;605.83765;936.0;1.0
5;376615407930681;609.79584;935.10205;1.0
5;376615407930681;612.8715;935.0;1.0
5;376615407930681;616.8157;934.0;1.0
5;376615407930681;619.88385;933.0;1.0
5;376615407930681;621.8964;933.0;1.0
5;376615407930681;623.9245;933.0;1.0
5;376615407930681;625.9212;933.0;1.0
5;376615407930681;627.9284;933.0;1.0
5;376615407930681;629.93176;933.0;1.0
5;376615407930681;631.9278;933.0;1.0
5;376615407930681;633.5;933.0;1.0
5;376615407930681;634.3896;933.0;1.0
5;376615407930681;635.89935;933.0;1.0
5;376615407930681;637.8878;933.0;1.0
5;376615407930681;639.91797;933.0;1.0
5;376615407930681;641.9213;933.0;1.0
5;376615407930681;643.89197;933.0;1.0
5;376615407930681;646.7794;933.0;1.0
5;376615407930681;650.7781;933.0;1.0
5;376615407930681;654.81604;933.0;1.0
5;376615407930681;658.8092;933.0;1.0
5;376615407930681;660.89246;933.0;1.0
5;376615407930681;662.8561;933.0;1.0
5;376615407930681;664.8609;933.0;1.0
5;376615407930681;666.8911;933.0;1.0
5;376615407930681;668.93054;933.0;1.0
5;376615407930681;670.9024;933.0;1.0
5;376615407930681;672.8927;933.8927;1.0
5;376615407930681;674.9004;935.0;1.0
5;376615407930681;676.90857;936.90857;1.0
5;376615407930681;678.8339;937.8339;1.0
5;376615407930681;680.9011;938.9011;1.0
5;376615407930681;682.0;939.886;1.0
5;376615407930681;683.9387;940.0;1.0
5;376615407930681;684.92126;941.0;1.0
5;376615407930681;685.9572;941.9572;1.0
5;376615407930681;687.89667;942.0;1.0
5;376615407930681;689.9455;942.9455;1.0
5;376615407930681;691.5;943.0;1.0
5;376615407930681;691.0;944.0;1.0
5;376615407930681;691.0;945.0;1.0
5;376615407930681;691.0;946.0;1.0
5;376615407930681;692.94037;947.0;1.0
5;376615407930681;695.9291;948.96454;1.0
5;376615407930681;700.88446;950.9615;1.0
5;376615407930681;707.793;954.8965;1.0
5;376615407930681;718.6888;960.8444;1.0
5;376615407930681;733.55493;969.7218;1.0
5;376615407930681;750.578;979.73627;1.0
5;376615407930681;768.14746;991.43164;1.0
6;376617134269483;784.1176;1001.4485;1.0
6;376617134269483;798.59326;1009.7676;1.0
6;376617134269483;811.3226;1016.6613;1.0
6;376617134269483;822.5169;1021.80676;1.0
6;376617134269483;830.6337;1025.8169;1.0
6;376617134269483;836.6949;1029.7966;1.0
6;376617134269483;840.8071;1031.9036;1.0
6;376617134269483;842.9064;1033.9064;1.0
6;376617134269483;844.90344;1035.9034;1.0
6;376617134269483;846.89124;1037.8912;1.0
6;376617134269483;848.5;1038.0;1.0
6;376617134269483;848.0;1038.0;1.0
6;376617134269483;848.0;1038.0;1.0
6;376617134269483;846.1589;1038.0;1.0
6;376617134269483;844.1433;1038.0;1.0
6;376617134269483;842.12915;1038.0;1.0
6;376617134269483;840.1498;1038.8502;1.0
6;376617134269483;838.10095;1040.899;1.0
6;376617134269483;836.1013;1042.8987;1.0
6;376617134269483;833.2363;1045.7637;1.0
6;376617134269483;829.2229;1050.6656;1.0
6;376617134269483;822.66034;1059.1746;1.0
6;376617134269483;812.70184;1071.1578;1.0
6;376617134269483;800.6562;1083.3439;1.0
6;376617134269483;787.61456;1095.4733;1.0
6;376617134269483;774.62427;1107.3757;1.0
6;376617134269483;763.62976;1116.4962;1.0
6;376617134269483;754.4161;1122.688;1.0
6;376617134269483;747.4311;1126.7126;1.0
6;376617134269483;743.2493;1128.8754;1.0
6;376617134269483;740.15375;1129.0;1.0
6;376617134269483;738.111;1129.0;1.0
6;376617134269483;736.1016;1129.0;1.0
6;376617134269483;734.093;1129.0;1.0
6;376617134269483;732.09436;1129.0;1.0
6;376617134269483;730.10565;1129.0;1.0
6;376617134269483;728.13525;1129.0;1.0
6;376617134269483;726.09753;1129.0;1.0
6;376617134269483;724.1188;1129.0;1.0
6;376617134269483;722.134;1129.0;1.0
6;376617134269483;720.1464;1129.0;1.0
6;376617134269483;718.1581;1129.0;1.0
6;376617134269483;716.10974;1129.0;1.0
6;376617134269483;714.13184;1129.8682;1.0
6;376617134269483;712.12805;1130.0;1.0
6;376617134269483;710.10297;1130.0;1.0
6;376617134269483;708.1381;1130.0;1.0
6;376617134269483;706.112;1130.0;1.0
6;376617134269483;705.5;1130.0;1.0
6;376617134269483;704.16693;1130.0;1.0
6;376617134269483;702.12427;1130.8757;1.0
6;376617134269483;700.1393;1131.8607;1.0
6;376617134269483;698.10504;1132.895;1.0
6;376617134269483;696.1133;1134.0;1.0
6;376617134269483;692.2961;1135.8519;1.0
6;376617134269483;688.27936;1137.8604;1.0
6;376617134269483;684.21216;1139.8939;1.0
6;376617134269483;678.36804;1141.8773;1.0
6;376617134269483;670.4981;1145.751;1.0
6;376617134269483;662.56024;1149.7198;1.0
6;376617134269483;652.6299;1153.748;1.0
6;376617134269483;642.69696;1157.7212;1.0
6;376617134269483;632.6215;1161.7513;1.0
6;376617134269483;621.5271;1165.7892;1.0
6;376617134269483;609.82336;1170.5884;1.0
6;376617134269483;596.6717;1174.7761;1.0
6;376617134269483;584.7077;1178.7642;1.0
6;376617134269483;572.8778;1182.7074;1.0
6;376617134269483;562.06445;1186.5742;1.0
6;376617134269483;550.68396;1190.7264;1.0
6;376617134269483;539.598;1194.7607;1.0
6;376617134269483;528.51886;1197.9136;1.0
6;376617134269483;518.6157;1201.7537;1.0
6;376617134269483;508.5078;1203.8984;1.0
6;376617134269483;500.41803;1207.791;1.0
6;376617134269483;490.51938;1211.7922;1.0
6;376617134269483;480.8118;1215.6753;1.0
6;376617134269483;469.7903;1219.7366;1.0
6;376617134269483;457.19687;1224.6581;1.0
6;376617134269483;443.2402;1230.4685;1.0
6;376617134269483;425.98843;1237.5607;1.0
6;376617134269483;406.10797;1247.446;1.0
6;376617134269483;385.37808;1258.2483;1.0
6;376617134269483;361.5344;1270.2328;1.0
6;376617134269483;337.2334;1284.2805;1.0
4;376618347127034;316.26456;1295.3677;1.0
4;376618347127034;297.09634;1302.6345;1.0
4;376618347127034;281.7317;1308.6864;1.0
4;376618347127034;268.7478;1314.6261;1.0
4;376618347127034;258.49564;1320.7026;1.0
4;376618347127034;249.42516;1326.6812;1.0
4;376618347127034;242.28613;1330.8092;1.0
4;376618347127034;236.25308;1333.9156;1.0
4;376618347127034;232.21014;1335.0;1.0
4;376618347127034;230.11871;1335.0;1.0
4;376618347127034;228.12141;1335.0;1.0
4;376618347127034;226.15053;1335.0;1.0
4;376618347127034;224.24347;1334.0;1.0
4;376618347127034;224.0;1332.1489;1.0
4;376618347127034;224.0;1331.0437;1.0
4;376618347127034;224.0;1329.1006;1.0
4;376618347127034;224.0;1327.5;1.0
4;376618347127034;224.0;1326.0891;1.0
4;376618347127034;224.0;1324.1364;1.0
4;376618347127034;224.0;1323.0463;1.0
4;376618347127034;224.0;1321.1758;1.0
4;376618347127034;224.0;1320.0647;1.0
4;376618347127034;224.0;1319.5057;1.0
4;376618347127034;224.0;1319.0;1.0
4;376618347127034;224.0;1317.5774;1.0
4;376618347127034;224.0;1316.1128;1.0
4;376618347127034;224.0;1315.0;1.0
4;376618347127034;224.0;1313.2004;1.0
4;376618347127034;224.0;1311.14;1.0
4;376618347127034;225.88776;1309.1123;1.0
4;376618347127034;227.84502;1307.155;1.0
4;376618347127034;229.833;1305.167;1.0
4;376618347127034;231.87448;1303.1255;1.0
4;376618347127034;233.82605;1301.174;1.0
4;376618347127034;236.72066;1299.1396;1.0
4;376618347127034;239.86143;1297.1385;1.0
4;376618347127034;242.84799;1293.3041;1.0
4;376618347127034;245.73135;1290.2687;1.0
4;376618347127034;248.69194;1288.154;1.0
4;376618347127034;250.86913;1286.1309;1.0
4;376618347127034;253.77759;1284.1112;1.0
4;376618347127034;255.87086;1282.1292;1.0
4;376618347127034;258.8356;1280.1644;1.0
4;376618347127034;260.89764;1278.1023;1.0
4;376618347127034;263.72757;1274.2725;1.0
4;376618347127034;267.7543;1270.2457;1.0
4;376618347127034;271.73364;1266.2664;1.0
4;376618347127034;275.80627;1260.2906;1.0
4;376618347127034;279.7633;1254.355;1.0
4;376618347127034;285.5437;1248.4563;1.0
4;376618347127034;291.60995;1241.52;1.0
4;376618347127034;297.43735;1233.7502;1.0
4;376618347127034;305.4509;1223.6864;1.0
4;376618347127034;313.63483;1211.5477;1.0
4;376618347127034;322.60556;1198.5917;1.0
4;376618347127034;330.60538;1186.5919;1.0
4;376618347127034;338.61676;1175.479;1.0
4;376618347127034;347.524;1164.5712;1.0
4;376618347127034;356.5493;1152.676;1.0
4;376618347127034;364.46582;1141.8013;1.0
4;376618347127034;372.58688;1129.6196;1.0
4;376618347127034;380.61948;1118.5708;1.0
4;376618347127034;388.5293;1108.5884;1.0
4;376618347127034;396.55875;1098.5515;1.0
4;376618347127034;404.52026;1087.5996;1.0
4;376618347127034;412.55615;1075.6658;1.0
4;376618347127034;420.47394;1064.6576;1.0
4;376618347127034;428.48492;1054.6439;1.0
4;376618347127034;434.5242;1044.793;1.0
4;376618347127034;440.65405;1036.4613;1.0
4;376618347127034;446.53775;1028.6163;1.0
4;376618347127034;450.7895;1020.421;1.0
4;376618347127034;456.66818;1010.55304;1.0
1;376618529901357;462.70126;998.5975;1.0
1;376618529901357;468.72806;986.5439;1.0
1;376618529901357;473.82794;974.51624;1.0
1;376618529901357;478.70166;963.5967;1.0
1;376618529901357;483.70245;952.5951;1.0
1;376618529901357;489.67587;939.7563;1.0
1;376618529901357;493.75156;925.86957;1.0
1;376618529901357;497.80453;911.6842;1.0
1;376618529901357;502.74088;897.9069;1.0
1;376618529901357;508.6099;883.9103;1.0
1;376618529901357;514.6949;869.7119;1.0
2;376619411233388;520.6822;856.63556;1.0
2;376619411233388;524.7982;846.50446;1.0
2;376619411233388;528.7896;838.4208;1.0
2;376619411233388;530.9057;832.28296;1.0
2;376619411233388;532.0;828.18463;1.0
2;376619411233388;532.0;826.10803;1.0
2;376619411233388;532.0;824.0915;1.0
2;376619411233388;532.0;822.09595;1.0
2;376619411233388;532.0;820.1056;1.0
2;376619411233388;532.0;819.5;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;820.0;1.0
2;376619411233388;532.0;822.82776;1.0
2;376619411233388;535.83765;824.94586;1.0
2;376619411233388;550.3253;827.92505;1.0
2;376619411233388;580.7851;829.9325;1.0
2;376619411233388;632.1594;829.06573;1.0
2;376619411233388;688.5286;826.1765;1.0
2;376619411233388;738.51447;822.12915;1.0
7;376619991672711;776.9097;819.06415;1.0
7;376619991672711;807.73804;817.0841;1.0
