number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;101835705405316;587.0;841.8252;1.0
0;101835705405316;585.0;808.463;1.0
0;101835705405316;585.0;783.0;1.0
0;101835705405316;288.0;744.0;1.0
3;101835880309534;288.0;744.0;1.0
3;101835880309534;288.0;744.0;1.0
3;101835880309534;282.29404;768.5297;1.0
3;101835880309534;278.2149;810.42114;1.0
3;101835880309534;273.20972;863.06396;1.0
3;101835880309534;269.27817;918.24457;1.0
3;101835880309534;268.0;967.5238;1.0
3;101835880309534;267.0;1010.2129;1.0
6;101836046662659;266.0;1048.3617;1.0
6;101836046662659;266.0;1083.5515;1.0
6;101836046662659;266.0;1118.4032;1.0
6;101836046662659;266.0;1149.7379;1.0
6;101836046662659;267.9227;1179.8406;1.0
6;101836046662659;270.89658;1205.7589;1.0
6;101836046662659;274.8035;1228.9193;1.0
6;101836046662659;278.7913;1249.852;1.0
6;101836046662659;282.7622;1269.8112;1.0
6;101836046662659;286.82706;1289.2218;1.0
7;101836246289065;292.76978;1309.2325;1.0
7;101836246289065;298.68408;1328.0522;1.0
7;101836246289065;305.70572;1342.485;1.0
7;101836246289065;313.70013;1352.7001;1.0
7;101836246289065;321.6054;1360.6055;1.0
7;101836246289065;333.38013;1368.5868;1.0
7;101836246289065;349.9535;1375.6511;1.0
7;101836246289065;371.62146;1379.7703;1.0
7;101836246289065;396.78293;1381.0;1.0
7;101836246289065;425.30853;1381.0;1.0
7;101836246289065;455.13174;1379.1245;1.0
7;101836246289065;485.13312;1376.2489;1.0
8;101836362932815;518.358;1372.1932;1.0
8;101836362932815;555.9975;1366.3004;1.0
8;101836362932815;597.6421;1360.3368;1.0
8;101836362932815;638.73566;1355.2264;1.0
8;101836362932815;680.77625;1351.2118;1.0
8;101836362932815;726.5608;1347.2032;1.0
8;101836362932815;774.924;1342.2595;1.0
